Student ID & Name,Student Athletic Team 1,Applied To Year Semester,Student Domestic/International Status,Student World Region of Citizenship,Student Gender,Student Degree Level,Enrollment College,Primary College Degree Program,Primary Enrollment HEGIS,Class Year Category,Applicant Group,Average Undergraduate Applicant High School GPA,Average ACT Highest Composite Score (Applicants Wanting Test Scores Considered),Average SAT Highest Composite Score (Applicants Wanting Test Scores Considered),Semester 1 GPI,Semester 1 Cum GPA,Semester 2 GPI,Semester 2 Cum GPA,Semester 3 GPI,Semester 3 Cum GPA,Semester 4 GPI,Semester 4 Cum GPA,Semester 5 GPI,Semester 5 Cum GPA,Semester 6 GPI,Semester 6 Cum GPA,Semester 7 GPI,Semester 7 Cum GPA,Semester 8 GPI,Semester 8 Cum GPA,Semester 9 GPI,Semester 9 Cum GPA,Semester 10 GPI,Semester 10 Cum GPA,Semester 11 GPI,Semester 11 Cum GPA,Semester 12 GPI,Semester 12 Cum GPA
13,Bowling,"Fall, 2021",International,Wheat,Female,UNDERGRAD,CAS,Bachelor of Arts,2204,Undergrad Junior,Freshman,3.0,,1130.0,3.33,3.33,1.93,2.53,2.75,2.61,3.23,2.77,3.83,2.99,3.48,3.08,,,,,,,,,,,,
19,Curling,"Spring, 2024",International,Wheat,Male,UNDERGRAD,CAS,Bachelor of Arts,11,Undergrad Freshman,,,,,1.33,1.33,,,,,,,,,,,,,,,,,,,,,,
20,Curling,"Fall, 2021",International,Ciabatta ,Male,UNDERGRAD,QST,Bachelor of Science in Business Administration,506,Undergrad Junior,Freshman,3.7,,1100.0,3.25,3.25,3.65,3.45,3.4,3.43,3.45,3.44,2.68,3.29,3.68,3.35,,,,,,,,,,,,
34,Squash ,"Fall, 2021",International,Sourdough,Female,UNDERGRAD,COM,Bachelor of Science,608,Undergrad Junior,Freshman,3.5,,,3.58,3.58,3.93,3.75,3.75,3.75,3.85,3.78,3.85,3.79,3.68,3.77,,,,,,,,,,,,
37,Curling,"Fall, 2023",International,Wheat,Male,UNDERGRAD,ENG,Bachelor of Science,909,Undergrad Freshman,Freshman,3.9,,1390.0,3.77,3.77,4.0,3.91,,,,,,,,,,,,,,,,,,,,
42,Curling,"Spring, 2023",International,Wheat,Male,UNDERGRAD,ENG,Bachelor of Science,910,Undergrad Sophomore,Freshman,3.3,,,3.35,3.35,3.78,3.57,3.83,3.66,,,,,,,,,,,,,,,,,,
47,Roller Derby,"Fall, 2023",International,Sourdough,Male,UNDERGRAD,CAS,Bachelor of Arts,401,Undergrad Junior,Transfer,3.9,,,2.68,2.73,3.77,3.08,,,,,,,,,,,,,,,,,,,,
52,Rollerblading,"Fall, 2020",International,Sourdough,Male,UNDERGRAD,QST,Bachelor of Science in Business Administration,506,Undergrad Senior,Freshman,3.4,27.0,,3.78,3.78,3.06,3.39,3.25,3.35,3.18,3.31,3.6,3.36,2.5,3.22,2.98,3.19,3.18,3.19,,,,,,,,
53,Sailing,"Fall, 2023",International,Wheat,Male,UNDERGRAD,QST,Bachelor of Science in Business Administration,506,Undergrad Freshman,Freshman,3.7,,,3.6,3.6,3.11,3.34,,,,,,,,,,,,,,,,,,,,
70,Climbing,"Fall, 2021",International,Ciabatta ,Female,UNDERGRAD,SAR,Bachelor of Science,5558,Undergrad Junior,Freshman,3.3,,,2.83,2.83,3.1,2.94,2.43,2.75,3.03,2.82,2.43,2.74,3.33,2.84,,,,,,,,,,,,
71,Curling,"Fall, 2022",International,Wheat,Male,UNDERGRAD,CAS,Bachelor of Arts,317,Undergrad Sophomore,Freshman,3.5,,,2.33,2.33,3.0,2.61,3.25,2.85,3.5,3.02,,,,,,,,,,,,,,,,
72,Fencing,"Fall, 2021",International,Baguette ,Female,UNDERGRAD,CFA,Bachelor of Fine Arts,1012,Undergrad Junior,Freshman,3.7,,1250.0,3.93,3.93,3.75,3.85,3.64,3.78,3.24,3.64,4.0,3.71,3.72,3.71,,,,,,,,,,,,
81,Bowling,"Fall, 2020",International,Wheat,Female,UNDERGRAD,CAS,Bachelor of Arts,1741,Undergrad Senior,Freshman,3.8,,1150.0,3.43,3.43,3.77,3.57,3.83,3.66,3.33,3.57,3.33,3.53,3.88,3.61,3.58,3.62,3.75,3.63,,,,,,,,
84,Beach Volleyball,"Fall, 2022",International,Baguette ,Female,UNDERGRAD,QST,Bachelor of Science in Business Administration,506,Undergrad Sophomore,Freshman,4.0,,,3.4,3.4,2.88,3.12,3.0,3.08,3.54,3.18,,,,,,,,,,,,,,,,
89,Cricket,"Fall, 2022",International,Sourdough,Female,UNDERGRAD,CAS,Bachelor of Arts,2207,Undergrad Sophomore,Freshman,3.9,,,2.68,2.68,3.23,2.91,3.33,3.06,3.25,3.11,,,,,,,,,,,,,,,,
90,Climbing,"Fall, 2022",International,Cornbread ,Female,UNDERGRAD,SAR,Bachelor of Science,1237,Undergrad Sophomore,Freshman,3.1,,,3.75,3.75,3.85,3.8,3.43,3.68,3.18,3.55,,,,,,,,,,,,,,,,
92,Volleyball,"Fall, 2022",International,Wheat,Male,UNDERGRAD,CAS,Bachelor of Arts,2204,Undergrad Sophomore,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Cricket,"Fall, 2023",International,Wheat,Female,UNDERGRAD,CAS,Bachelor of Arts,11,Undergrad Sophomore,Transfer,3.5,,,3.67,3.74,3.55,3.67,,,,,,,,,,,,,,,,,,,,
98,Roller Derby,"Fall, 2023",International,Wheat,Male,UNDERGRAD,CAS,Bachelor of Arts,11,Undergrad Freshman,Freshman,2.3,,,2.9,2.9,3.67,3.23,,,,,,,,,,,,,,,,,,,,
100,Beach Volleyball,"Fall, 2020",International,Wheat,Female,UNDERGRAD,ENG,Bachelor of Science,930,Undergrad Senior,Freshman,3.7,22.0,1190.0,3.68,3.68,3.33,3.49,3.43,3.49,3.75,3.55,3.25,3.51,3.51,3.51,3.85,3.56,3.75,3.58,,,,,,,,
106,Fencing,"Fall, 2022",International,Pita,Female,UNDERGRAD,CAS,Bachelor of Arts,2204,Undergrad Sophomore,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Curling,"Fall, 2023",International,Wheat,Male,UNDERGRAD,CAS,Bachelor of Arts,2204,Undergrad Freshman,Freshman,4.1,,1380.0,3.23,3.23,3.75,3.53,,,,,,,,,,,,,,,,,,,,
120,Climbing,"Fall, 2022",International,Cornbread ,Female,UNDERGRAD,SAR,Bachelor of Science,1237,Undergrad Sophomore,Freshman,3.1,,,3.08,3.08,3.25,3.16,3.2,3.18,2.83,3.09,,,,,,,,,,,,,,,,
146,Pickeball,"Fall, 2022",International,Wheat,Female,UNDERGRAD,CAS,Bachelor of Arts,1755,Undergrad Sophomore,Freshman,4.0,,,3.75,3.83,3.93,3.87,3.24,3.64,3.18,3.54,,,,,,,,,,,,,,,,
147,Squash ,"Fall, 2023",International,Sourdough,Female,UNDERGRAD,CAS,Bachelor of Arts,2001,Undergrad Sophomore,Transfer,3.7,,,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,
149,Cricket,Unknown,International,Sourdough,Female,UNDERGRAD,COM,Bachelor of Science,614,Undergrad Freshman,,,,,3.33,3.33,3.18,3.25,,,,,,,,,,,,,,,,,,,,
151,Kickball,"Fall, 2020",International,Baguette ,Female,UNDERGRAD,QST,Bachelor of Science in Business Administration,506,Undergrad Senior,Freshman,3.8,,1440.0,3.93,3.93,3.93,3.93,3.58,3.8,3.43,3.71,3.68,3.71,3.8,3.72,4.0,3.77,,,,,,,,,,
155,Quidditch,"Fall, 2021",International,Wheat,Male,UNDERGRAD,CAS,Bachelor of Arts,449,Undergrad Junior,Freshman,4.2,,,4.0,4.0,3.85,3.93,3.73,3.86,3.62,3.79,3.83,3.8,3.94,3.82,,,,,,,,,,,,
170,Climbing,"Fall, 2020",International,Wheat,Female,UNDERGRAD,CAS,Bachelor of Arts,317,Undergrad Senior,Freshman,3.2,,1080.0,3.4,3.4,2.87,3.17,3.5,3.29,3.68,3.39,3.4,3.39,3.57,3.43,3.64,3.46,3.75,3.5,,,,,,,,
175,Cricket,"Fall, 2020",International,Sourdough,Female,UNDERGRAD,QST,Bachelor of Science in Business Administration,506,Undergrad Senior,Freshman,3.0,,1090.0,3.58,3.58,3.25,3.41,2.93,3.21,2.93,3.14,2.43,3.02,3.0,3.01,3.43,3.07,3.8,3.14,,,,,,,,
182,Ping Pong,"Fall, 2021",International,Wheat,Female,UNDERGRAD,ENG,Bachelor of Science,930,Undergrad Junior,Freshman,3.5,,1320.0,3.25,3.25,3.42,3.34,3.38,3.35,3.43,3.37,3.75,3.44,3.53,3.46,,,,,,,,,,,,
183,Bowling,"Fall, 2022",International,Wheat,Female,UNDERGRAD,CAS,Bachelor of Arts,2204,Undergrad Sophomore,Freshman,4.2,,,4.0,4.0,4.0,4.0,3.83,3.94,4.0,3.95,,,,,,,,,,,,,,,,
188,Bowling,"Fall, 2023",International,Sourdough,Female,UNDERGRAD,CAS,Bachelor of Arts,1522,Undergrad Freshman,Freshman,3.7,,,3.18,3.18,3.7,3.44,,,,,,,,,,,,,,,,,,,,
