Student ID & Name,Student Athletic Team 1,Applied To Year Semester,Student Domestic/International Status,Student World Region of Citizenship,Student Home Admission Publication Region,Student Home State,Student Gender,Student IPEDS Race Ethnicity,Student Degree Level,Enrollment College,Primary College Degree Program,Primary Enrollment HEGIS,Class Year Category,Applicant Group,Average Undergraduate Applicant High School GPA,Average ACT Highest Composite Score (Applicants Wanting Test Scores Considered),Average SAT Highest Composite Score (Applicants Wanting Test Scores Considered),Semester 1 GPI,Semester 1 Cum GPA,Semester 2 GPI,Semester 2 Cum GPA,Semester 3 GPI,Semester 3 Cum GPA,Semester 4 GPI,Semester 4 Cum GPA,Semester 5 GPI,Semester 5 Cum GPA,Semester 6 GPI,Semester 6 Cum GPA,Semester 7 GPI,Semester 7 Cum GPA,Semester 8 GPI,Semester 8 Cum GPA,Semester 9 GPI,Semester 9 Cum GPA,Semester 10 GPI,Semester 10 Cum GPA,Semester 11 GPI,Semester 11 Cum GPA,Semester 12 GPI,Semester 12 Cum GPA
2,Quidditch,"Fall, 2023",Domestic,Unknown,Pacific,Broccoli ,Male,Asian,UNDERGRAD,CAS,Bachelor of Arts,1704,Undergrad Freshman,Freshman,3.9,,,3.15,3.15,3.4,3.28,,,,,,,,,,,,,,,,,,,,
3,Ping Pong,"Fall, 2022",Domestic,Unknown,New England,Grapefruit,Female,Hispanic/Latino,UNDERGRAD,COM,Bachelor of Science,602,Undergrad Sophomore,Freshman,3.6,,,3.5,3.5,3.6,3.55,3.5,3.53,3.35,3.49,,,,,,,,,,,,,,,,
4,Bowling,"Fall, 2022",Domestic,Unknown,Mid-Atlantic,Lemon,Female,White,UNDERGRAD,CAS,Bachelor of Arts,1501,Undergrad Sophomore,Freshman,4.0,,,3.4,3.4,3.25,3.33,3.65,3.43,3.93,3.56,,,,,,,,,,,,,,,,
6,Curling,"Fall, 2023",Domestic,Unknown,Mid-Atlantic,Blueberry,Male,African American or Black,UNDERGRAD,ENG,Bachelor of Science,930,Undergrad Freshman,Freshman,3.8,,,3.23,3.23,3.15,3.19,,,,,,,,,,,,,,,,,,,,
8,Handball,"Fall, 2023",Domestic,Unknown,Pacific,Broccoli ,Female,White,UNDERGRAD,CAS,Bachelor of Arts,435,Undergrad Freshman,Freshman,3.7,,,2.85,2.85,2.75,2.8,,,,,,,,,,,,,,,,,,,,
9,Beach Volleyball,"Fall, 2021",Domestic,Unknown,Mid-Atlantic,Lemon,Female,Asian,UNDERGRAD,QST,Bachelor of Science in Business Administration,506,Undergrad Junior,Freshman,4.3,,,3.83,3.83,3.93,3.88,3.75,3.83,3.78,3.82,3.83,3.84,3.75,3.82,,,,,,,,,,,,
11,Quidditch,"Fall, 2023",Domestic,Unknown,Midwest,Watermelon,Male,White,UNDERGRAD,CAS,Bachelor of Arts,2204,Undergrad Freshman,Freshman,3.6,,,3.53,3.53,3.74,3.63,,,,,,,,,,,,,,,,,,,,
14,Badminton,"Fall, 2023",Domestic,Unknown,Mid-Atlantic,Blackberry,Male,White,UNDERGRAD,CAS,Bachelor of Arts,2204,Undergrad Freshman,Freshman,3.8,,,2.67,2.67,3.47,3.07,,,,,,,,,,,,,,,,,,,,
18,Curling,"Fall, 2023",Domestic,Unknown,New England,Plum,Male,White,UNDERGRAD,CAS,Bachelor of Arts,2204,Undergrad Freshman,Freshman,3.7,,,3.0,3.0,2.28,2.59,,,,,,,,,,,,,,,,,,,,
22,Polo,"Fall, 2022",Domestic,Unknown,Pacific,Broccoli ,Female,White,UNDERGRAD,QST,Bachelor of Science in Business Administration,506,Undergrad Sophomore,Freshman,3.7,,,3.1,3.1,3.65,3.38,3.21,3.32,3.5,3.36,,,,,,,,,,,,,,,,
